date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2016-02-01",,,,-0.0000,,0.0,1
"2016-02-02",,,,-0.0000,,0.0,1
"2016-02-03",,,,-0.0000,,0.0,1
"2016-02-04",,,,-0.0000,,0.0,1
"2016-02-05",,,,-0.0000,,0.0,1
"2016-02-06",,,,-0.0000,,0.0,1
"2016-02-07",,,,-0.0000,,0.0,1
"2016-02-08",,,,-0.0000,,0.0,1
"2016-02-09",,,,-0.0000,,0.0,1
"2016-02-10",,,,-0.0000,,0.0,1
"2016-02-11",,,,-0.0000,,0.0,1
"2016-02-12",22.3106,22.3057,22.3174,0.0000,0.0009,16.0,1
"2016-02-13",,,,-0.0000,,0.0,1
"2016-02-14",,,,-0.0000,,0.0,1
"2016-02-15",,,,-0.0000,,0.0,1
"2016-02-16",,,,-0.0000,,0.0,1
"2016-02-17",,,,-0.0000,,0.0,1
"2016-02-18",,,,-0.0000,,0.0,1
"2016-02-19",,,,-0.0000,,0.0,1
"2016-02-20",,,,-0.0000,,0.0,1
"2016-02-21",,,,-0.0000,,0.0,1
"2016-02-22",,,,-0.0000,,0.0,1
"2016-02-23",,,,-0.0000,,0.0,1
"2016-02-24",,,,-0.0000,,0.0,1
"2016-02-25",,,,-0.0000,,0.0,1
"2016-02-26",,,,-0.0000,,0.0,1
"2016-02-27",,,,-0.0000,,0.0,1
"2016-02-28",,,,-0.0000,,0.0,1
"2016-02-29",,,,-0.0000,,0.0,1
