date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2016-11-01",,,,-0.00,,0.0,1
"2016-11-02",,,,-0.00,,0.0,1
"2016-11-03",,,,-0.00,,0.0,1
"2016-11-04",,,,-0.00,,0.0,1
"2016-11-05",,,,-0.00,,0.0,1
"2016-11-06",,,,-0.00,,0.0,1
"2016-11-07",,,,-0.00,,0.0,1
"2016-11-08",,,,-0.00,,0.0,1
"2016-11-09",,,,-0.00,,0.0,1
"2016-11-10",,,,-0.00,,0.0,1
"2016-11-11",,,,-0.00,,0.0,1
"2016-11-12",,,,-0.00,,0.0,1
"2016-11-13",,,,-0.00,,0.0,1
"2016-11-14",,,,-0.00,,0.0,1
"2016-11-15",,,,-0.00,,0.0,1
"2016-11-16",,,,-0.00,,0.0,1
"2016-11-17",,,,-0.00,,0.0,1
"2016-11-18",,,,-0.00,,0.0,1
"2016-11-19",,,,-0.00,,0.0,1
"2016-11-20",,,,-0.00,,0.0,1
"2016-11-21",,,,-0.00,,0.0,1
"2016-11-22",,,,-0.00,,0.0,1
"2016-11-23",,,,-0.00,,0.0,1
"2016-11-24",,,,-0.00,,0.0,1
"2016-11-25",,,,-0.00,,0.0,1
"2016-11-26",,,,-0.00,,0.0,1
"2016-11-27",,,,-0.00,,0.0,1
"2016-11-28",,,,-0.00,,0.0,1
"2016-11-29",12.01,6.19,19.05,2.98,0.01,25189.0,1
"2016-11-30",8.71,4.33,15.89,2.05,0.00,86376.0,0
